SYMBOL,PRICE,TARGET,SCORE,RSI,DEBT_EQUITY,SECTOR,VOL_SURGE
20MICRONS,159.38,183.29,8,51.43,0.36,Basic Materials,0.83
21STCENMGM,29.75,34.21,4,31.32,0.0,Financial Services,0.13
360ONE,998.1,1147.81,6,46.66,1.47,Financial Services,2.91
3IINFOLTD,15.37,17.68,8,64.75,0.11,Technology,0.3
3MINDIA,31050.0,35707.5,4,43.22,0.06,Industrials,1.59
3PLAND,35.05,40.31,6,63.01,0.0,General,0.35
5PAISA,300.5,345.58,8,53.13,0.46,Financial Services,0.56
63MOONS,550.95,633.59,8,51.18,0.0,Technology,0.83
A2ZINFRA,17.23,19.81,6,58.4,3.54,Industrials,0.63
AAATECH,98.34,113.09,8,57.07,0.0,Technology,1.22
AADHARHFC,472.0,542.8,6,54.1,2.55,Financial Services,1.37
AAKASH,8.1,9.32,2,43.04,0.54,Energy,0.29
AAREYDRUGS,65.26,75.05,8,52.31,0.38,Healthcare,1.25
AARON,144.02,165.62,8,51.97,0.72,Industrials,0.91
AARTECH,43.52,50.05,8,51.81,0.16,Industrials,1.09
AARTIDRUGS,357.65,411.3,8,53.74,0.39,Healthcare,0.62
AARTIIND,421.55,484.78,8,50.91,0.7,Basic Materials,0.66
AARTIPHARM,680.95,783.09,8,54.29,0.33,Healthcare,0.54
AARTISURF,401.2,461.38,6,60.93,0.5,Basic Materials,0.8
AARVI,128.86,148.19,10,52.29,0.24,Industrials,0.6
AAVAS,1220.5,1403.57,6,56.18,3.08,Financial Services,0.48
ABB,6614.0,7606.1,6,65.85,0.01,Industrials,1.46
ABBOTINDIA,25780.0,29647.0,2,42.79,0.05,Healthcare,1.08
ABCAPITAL,334.55,384.73,8,56.24,4.6,Financial Services,1.62
ABCOTS,400.65,460.75,4,44.09,0.93,Consumer Cyclical,1.37
ABDL,466.55,536.53,8,58.12,0.67,Consumer Defensive,1.17
ABFRL,58.43,67.19,4,44.97,0.85,Consumer Cyclical,0.7
ABINFRA,16.43,18.89,4,42.52,0.58,Industrials,0.13
ABMINTLLTD,45.3,52.09,6,56.18,1.09,Basic Materials,0.47
ABREL,1289.4,1482.81,6,60.03,1.45,Real Estate,0.73
ABSLAMC,967.75,1112.91,10,57.08,0.02,Financial Services,0.25
ACC,1391.9,1600.69,8,46.83,0.02,Basic Materials,0.69
ACCELYA,1136.5,1306.97,6,46.55,0.33,Technology,0.54
ACCURACY,5.37,6.18,4,65.24,1.12,Industrials,2.13
ACE,865.85,995.73,8,55.97,0.08,Industrials,0.65
ACEINTEG,17.99,20.69,8,53.99,0.01,Industrials,0.18
ACI,608.55,699.83,8,58.96,0.15,Basic Materials,1.32
ACL,54.63,62.82,6,58.92,12.22,Basic Materials,0.87
ACMESOLAR,273.1,314.07,8,61.7,2.72,Utilities,0.21
ACUTAAS,2322.1,2670.42,8,53.26,0.01,Basic Materials,0.41
ADANIENSOL,1078.75,1240.56,6,62.63,1.87,Utilities,1.0
ADANIENT,2040.5,2346.57,6,56.05,1.78,Energy,1.01
ADANIGREEN,1044.55,1201.23,4,70.44,2.96,Utilities,1.2
ADANIPORTS,1447.4,1664.51,10,55.25,0.82,Industrials,1.05
ADANIPOWER,172.33,198.18,6,74.86,0.81,Utilities,0.95
ADFFOODS,184.27,211.91,8,51.46,0.11,Consumer Defensive,0.7
ADL,67.9,78.09,8,53.66,0.37,Consumer Cyclical,0.3
